id,hour,max,min,days,loanamount,intrate,fundedamount,remaining,count,subgrade
122245192,01,2018-01-04,2018-01-03,1,12000,10.42,11875,125,73,B3
122245192,12,2018-01-04,2018-01-04,0,12000,10.42,7350,4650,2,B3
122245192,03,2018-01-03,2018-01-03,0,12000,10.42,6000,6000,4,B3
122245192,04,2018-01-03,2018-01-03,0,12000,10.42,6025,5975,1,B3
122245192,05,2018-01-03,2018-01-03,0,12000,10.42,6200,5800,6,B3
122245192,06,2018-01-03,2018-01-03,0,12000,10.42,6300,5700,3,B3
122245192,07,2018-01-03,2018-01-03,0,12000,10.42,6375,5625,3,B3
122245192,08,2018-01-03,2018-01-03,0,12000,10.42,6700,5300,5,B3
122245192,09,2018-01-03,2018-01-03,0,12000,10.42,6800,5200,4,B3
123063406,08,2017-12-29,2017-12-29,0,25000,9.93,22775,2225,1,B2
123934249,01,2018-01-04,2018-01-04,0,2400,15.05,2375,25,7,C4
123955540,01,2018-01-03,2018-01-03,0,35000,14.08,34950,50,65,C3
123955540,11,2018-01-03,2018-01-03,0,35000,14.08,8600,26400,1,C3
123955540,12,2018-01-03,2018-01-03,0,35000,14.08,8650,26350,2,C3
123955540,10,2018-01-02,2018-01-02,0,35000,14.08,8575,26425,3,C3
124088558,01,2018-01-09,2018-01-06,3,20000,9.93,19075,925,33,B2
124088558,02,2018-01-08,2018-01-06,2,20000,9.93,14450,5550,6,B2
124088558,03,2018-01-08,2018-01-06,2,20000,9.93,14575,5425,12,B2
124088558,06,2018-01-08,2018-01-05,3,20000,9.93,8875,11125,6,B2
124088558,08,2018-01-08,2018-01-06,2,20000,9.93,8900,11100,3,B2
124088558,09,2018-01-08,2018-01-05,3,20000,9.93,12175,7825,46,B2
124088558,10,2018-01-08,2018-01-05,3,20000,9.93,12875,7125,20,B2
124088558,11,2018-01-08,2018-01-05,3,20000,9.93,12950,7050,15,B2
124088558,12,2018-01-08,2018-01-07,1,20000,9.93,13575,6425,9,B2
124088558,04,2018-01-07,2018-01-05,2,20000,9.93,8075,11925,5,B2
124088558,05,2018-01-07,2018-01-05,2,20000,9.93,8100,11900,12,B2
124088558,07,2018-01-07,2018-01-06,1,20000,9.93,8200,11800,4,B2
124088580,01,2018-01-04,2018-01-03,1,13600,11.99,10675,2925,33,B5
124088580,03,2018-01-04,2018-01-03,1,13600,11.99,10700,2900,8,B5
124088580,08,2018-01-04,2018-01-03,1,13600,11.99,10225,3375,2,B5
124088580,12,2018-01-04,2018-01-03,1,13600,11.99,10200,3400,2,B5
124088580,02,2018-01-03,2018-01-03,0,13600,11.99,4325,9275,1,B5
124088580,04,2018-01-03,2018-01-03,0,13600,11.99,9675,3925,4,B5
124088580,05,2018-01-03,2018-01-03,0,13600,11.99,9925,3675,6,B5
124088580,06,2018-01-03,2018-01-03,0,13600,11.99,9950,3650,1,B5
124088580,07,2018-01-03,2018-01-03,0,13600,11.99,9975,3625,1,B5
124088580,09,2018-01-03,2018-01-03,0,13600,11.99,10025,3575,1,B5
124088580,11,2018-01-03,2018-01-02,1,13600,11.99,3800,9800,4,B5
124088580,10,2018-01-02,2018-01-02,0,13600,11.99,3700,9900,5,B5
124740960,05,2018-01-05,2018-01-05,0,8000,13.59,2375,5625,5,C2
124740960,06,2018-01-05,2018-01-05,0,8000,13.59,2525,5475,2,C2
124740960,07,2018-01-05,2018-01-05,0,8000,13.59,4700,3300,4,C2
124740960,08,2018-01-05,2018-01-05,0,8000,13.59,4775,3225,3,C2
124740960,09,2018-01-05,2018-01-05,0,8000,13.59,6300,1700,21,C2
124740960,10,2018-01-05,2018-01-05,0,8000,13.59,6350,1650,1,C2
124740960,11,2018-01-05,2018-01-05,0,8000,13.59,6400,1600,2,C2
124748264,05,2018-01-05,2018-01-03,2,10500,5.32,5575,4925,10,A1
124748264,06,2018-01-05,2018-01-03,2,10500,5.32,5650,4850,3,A1
124748264,08,2018-01-05,2018-01-03,2,10500,5.32,5700,4800,4,A1
124748264,09,2018-01-05,2018-01-03,2,10500,5.32,5825,4675,4,A1
124748264,11,2018-01-05,2018-01-05,0,10500,5.32,5850,4650,1,A1
124748264,01,2018-01-04,2018-01-04,0,10500,5.32,3700,6800,4,A1
124748264,03,2018-01-04,2018-01-04,0,10500,5.32,3000,7500,1,A1
124748264,12,2018-01-04,2018-01-04,0,10500,5.32,2925,7575,2,A1
124748264,07,2018-01-03,2018-01-03,0,10500,5.32,2600,7900,1,A1
124785828,07,2017-12-29,2017-12-29,0,14575,21.45,12275,2300,3,D5
124785828,08,2017-12-29,2017-12-29,0,14575,21.45,12425,2150,3,D5
124803844,01,2018-01-03,2018-01-03,0,30000,11.99,29275,725,86,B5
124803844,11,2018-01-03,2018-01-03,0,30000,11.99,19125,10875,1,B5
124803844,12,2018-01-03,2018-01-03,0,30000,11.99,19150,10850,1,B5
124803844,10,2018-01-02,2018-01-02,0,30000,11.99,19100,10900,3,B5
124836417,04,2018-01-06,2018-01-06,0,12000,13.59,6800,5200,1,C2
124836417,05,2018-01-05,2018-01-05,0,12000,13.59,3875,8125,3,C2
124836417,06,2018-01-05,2018-01-05,0,12000,13.59,3925,8075,2,C2
124836417,11,2018-01-05,2018-01-05,0,12000,13.59,3950,8050,1,C2
124836417,01,2018-01-04,2018-01-04,0,12000,13.59,2450,9550,5,C2
124836417,03,2018-01-04,2018-01-04,0,12000,13.59,1250,10750,1,C2
124836417,12,2018-01-04,2018-01-04,0,12000,13.59,1200,10800,1,C2
124836417,09,2018-01-03,2018-01-03,0,12000,13.59,3250,8750,3,C2
124902091,01,2018-01-04,2018-01-04,0,10000,19.03,9975,25,13,D3
124902091,12,2018-01-04,2018-01-04,0,10000,19.03,9425,575,4,D3
124902091,09,2018-01-03,2018-01-03,0,10000,19.03,7450,2550,16,D3
124907305,09,2018-01-05,2018-01-05,0,9600,16.02,4625,4975,19,C5
124907305,10,2018-01-05,2018-01-05,0,9600,16.02,4675,4925,2,C5
124907305,11,2018-01-05,2018-01-05,0,9600,16.02,4725,4875,2,C5
124916651,01,2018-01-09,2018-01-09,0,4800,16.02,4775,25,3,C5
124931262,09,2018-01-05,2018-01-05,0,21000,25.82,12225,8775,52,E4
124931262,10,2018-01-05,2018-01-05,0,21000,25.82,12375,8625,4,E4
124931262,11,2018-01-05,2018-01-05,0,21000,25.82,17425,3575,3,E4
124968932,02,2018-01-06,2018-01-06,0,30000,19.03,29850,150,1,D3
124968932,03,2018-01-06,2018-01-06,0,30000,19.03,29875,125,1,D3
124968932,04,2018-01-06,2018-01-06,0,30000,19.03,29925,75,2,D3
124968932,05,2018-01-05,2018-01-05,0,30000,19.03,19725,10275,43,D3
124968932,06,2018-01-05,2018-01-05,0,30000,19.03,19825,10175,4,D3
124968932,08,2018-01-05,2018-01-05,0,30000,19.03,27675,2325,4,D3
124968932,09,2018-01-05,2018-01-05,0,30000,19.03,28200,1800,3,D3
124968932,10,2018-01-05,2018-01-05,0,30000,19.03,28400,1600,8,D3
124968932,11,2018-01-05,2018-01-05,0,30000,19.03,28575,1425,5,D3
125051229,01,2018-01-09,2018-01-09,0,35000,14.08,4675,30325,3,C3
125051229,02,2018-01-09,2018-01-09,0,35000,14.08,4700,30300,1,C3
125054965,01,2018-01-03,2018-01-03,0,4800,13.59,3500,1300,17,C2
125054965,03,2018-01-03,2018-01-03,0,4800,13.59,3800,1000,7,C2
125054965,04,2018-01-03,2018-01-03,0,4800,13.59,3850,950,2,C2
125054965,05,2018-01-03,2018-01-03,0,4800,13.59,4075,725,8,C2
125054965,06,2018-01-03,2018-01-03,0,4800,13.59,4375,425,5,C2
125054965,07,2018-01-03,2018-01-03,0,4800,13.59,4550,250,5,C2
125054965,08,2018-01-03,2018-01-03,0,4800,13.59,4750,50,5,C2
125054965,09,2018-01-03,2018-01-03,0,4800,13.59,4775,25,1,C2
125055416,05,2018-01-05,2018-01-05,0,7000,20,3100,3900,25,D4
125055416,06,2018-01-05,2018-01-05,0,7000,20,3150,3850,2,D4
125055416,07,2018-01-05,2018-01-05,0,7000,20,3350,3650,3,D4
125055416,08,2018-01-05,2018-01-05,0,7000,20,3375,3625,1,D4
125055416,09,2018-01-05,2018-01-05,0,7000,20,4150,2850,13,D4
125055416,10,2018-01-05,2018-01-05,0,7000,20,4325,2675,6,D4
125055416,11,2018-01-05,2018-01-05,0,7000,20,4375,2625,2,D4
125062676,01,2018-01-04,2018-01-04,0,15000,6.72,4825,10175,19,A3
125064514,11,2018-01-03,2018-01-02,1,5000,6.72,4950,50,11,A3
125064514,12,2018-01-03,2018-01-03,0,5000,6.72,4975,25,1,A3
125064514,10,2018-01-02,2018-01-02,0,5000,6.72,4450,550,9,A3
