"term","grade","mob","ucor","upor","rep","long_mob","ucor2","upor2"
36,"A",1,0,0.005,1,1,0,0.005
36,"A",1,0,0.005,2,2,0,0.005
36,"A",1,0,0.005,3,3,0,0.005
36,"A",1,0,0.005,4,4,0,0.005
36,"A",1,0,0.005,5,5,0,0.005
36,"A",1,0,0.005,6,6,0,0.0054
36,"A",1,0,0.005,7,7,0,0.0058
36,"A",1,0,0.005,8,8,0,0.0062
36,"A",1,0,0.005,9,9,0,0.0066
36,"A",1,0,0.005,10,10,0,0.007
36,"A",2,0,0.009,1,11,0,0.0074
36,"A",2,0,0.009,2,12,0,0.0078
36,"A",2,0,0.009,3,13,0,0.0082
36,"A",2,0,0.009,4,14,0,0.0086
36,"A",2,0,0.009,5,15,0,0.009
36,"A",2,0,0.009,6,16,0.0001844819,0.0085
36,"A",2,0,0.009,7,17,0.0003689638,0.008
36,"A",2,0,0.009,8,18,0.0005534457,0.0075
36,"A",2,0,0.009,9,19,0.0007379276,0.007
36,"A",2,0,0.009,10,20,0.0009224095,0.0065
36,"A",3,0.001844819,0.004,1,21,0.0011068914,0.006
36,"A",3,0.001844819,0.004,2,22,0.0012913733,0.0055
36,"A",3,0.001844819,0.004,3,23,0.0014758552,0.005
36,"A",3,0.001844819,0.004,4,24,0.0016603371,0.0045
36,"A",3,0.001844819,0.004,5,25,0.001844819,0.004
36,"A",3,0.001844819,0.004,6,26,0.0019417744,0.0043
36,"A",3,0.001844819,0.004,7,27,0.0020387298,0.0046
36,"A",3,0.001844819,0.004,8,28,0.0021356852,0.0049
36,"A",3,0.001844819,0.004,9,29,0.0022326406,0.0052
36,"A",3,0.001844819,0.004,10,30,0.002329596,0.0055
36,"A",4,0.002814373,0.007,1,31,0.0024265514,0.0058
36,"A",4,0.002814373,0.007,2,32,0.0025235068,0.0061
36,"A",4,0.002814373,0.007,3,33,0.0026204622,0.0064
36,"A",4,0.002814373,0.007,4,34,0.0027174176,0.0067
36,"A",4,0.002814373,0.007,5,35,0.002814373,0.007
36,"A",4,0.002814373,0.007,6,36,0.002834061,0.0067
36,"A",4,0.002814373,0.007,7,37,0.002853749,0.0064
36,"A",4,0.002814373,0.007,8,38,0.002873437,0.0061
36,"A",4,0.002814373,0.007,9,39,0.002893125,0.0058
36,"A",4,0.002814373,0.007,10,40,0.002912813,0.0055
36,"A",5,0.003011253,0.004,1,41,0.002932501,0.0052
36,"A",5,0.003011253,0.004,2,42,0.002952189,0.0049
36,"A",5,0.003011253,0.004,3,43,0.002971877,0.0046
36,"A",5,0.003011253,0.004,4,44,0.002991565,0.0043
36,"A",5,0.003011253,0.004,5,45,0.003011253,0.004
36,"A",5,0.003011253,0.004,6,46,0.0030071663,0.0046
36,"A",5,0.003011253,0.004,7,47,0.0030030796,0.0052
36,"A",5,0.003011253,0.004,8,48,0.0029989929,0.0058
36,"A",5,0.003011253,0.004,9,49,0.0029949062,0.0064
36,"A",5,0.003011253,0.004,10,50,0.0029908195,0.007
36,"A",6,0.002970386,0.01,1,51,0.0029867328,0.0076
36,"A",6,0.002970386,0.01,2,52,0.0029826461,0.0082
36,"A",6,0.002970386,0.01,3,53,0.0029785594,0.0088
36,"A",6,0.002970386,0.01,4,54,0.0029744727,0.0094
36,"A",6,0.002970386,0.01,5,55,0.002970386,0.01
36,"A",6,0.002970386,0.01,6,56,0.0029579794,0.0094
36,"A",6,0.002970386,0.01,7,57,0.0029455728,0.0088
36,"A",6,0.002970386,0.01,8,58,0.0029331662,0.0082
36,"A",6,0.002970386,0.01,9,59,0.0029207596,0.0076
36,"A",6,0.002970386,0.01,10,60,0.002908353,0.007
36,"A",7,0.00284632,0.004,1,61,0.0028959464,0.0064
36,"A",7,0.00284632,0.004,2,62,0.0028835398,0.0058
36,"A",7,0.00284632,0.004,3,63,0.0028711332,0.0052
36,"A",7,0.00284632,0.004,4,64,0.0028587266,0.0046
36,"A",7,0.00284632,0.004,5,65,0.00284632,0.004
36,"A",7,0.00284632,0.004,6,66,0.0028311707,0.0044
36,"A",7,0.00284632,0.004,7,67,0.0028160214,0.0048
36,"A",7,0.00284632,0.004,8,68,0.0028008721,0.0052
36,"A",7,0.00284632,0.004,9,69,0.0027857228,0.0056
36,"A",7,0.00284632,0.004,10,70,0.0027705735,0.006
36,"A",8,0.002694827,0.008,1,71,0.0027554242,0.0064
36,"A",8,0.002694827,0.008,2,72,0.0027402749,0.0068
36,"A",8,0.002694827,0.008,3,73,0.0027251256,0.0072
36,"A",8,0.002694827,0.008,4,74,0.0027099763,0.0076
36,"A",8,0.002694827,0.008,5,75,0.002694827,0.008
36,"A",8,0.002694827,0.008,6,76,0.0026791905,0.0081
36,"A",8,0.002694827,0.008,7,77,0.002663554,0.0082
36,"A",8,0.002694827,0.008,8,78,0.0026479175,0.0083
36,"A",8,0.002694827,0.008,9,79,0.002632281,0.0084
36,"A",8,0.002694827,0.008,10,80,0.0026166445,0.0085
36,"A",9,0.002538462,0.009,1,81,0.002601008,0.0086
36,"A",9,0.002538462,0.009,2,82,0.0025853715,0.0087
36,"A",9,0.002538462,0.009,3,83,0.002569735,0.0088
36,"A",9,0.002538462,0.009,4,84,0.0025540985,0.0089
36,"A",9,0.002538462,0.009,5,85,0.002538462,0.009
36,"A",9,0.002538462,0.009,6,86,0.0025232912,0.0087
36,"A",9,0.002538462,0.009,7,87,0.0025081204,0.0084
36,"A",9,0.002538462,0.009,8,88,0.0024929496,0.0081
36,"A",9,0.002538462,0.009,9,89,0.0024777788,0.0078
36,"A",9,0.002538462,0.009,10,90,0.002462608,0.0075
36,"A",10,0.002386754,0.006,1,91,0.0024474372,0.0072
36,"A",10,0.002386754,0.006,2,92,0.0024322664,0.0069
36,"A",10,0.002386754,0.006,3,93,0.0024170956,0.0066
36,"A",10,0.002386754,0.006,4,94,0.0024019248,0.0063
36,"A",10,0.002386754,0.006,5,95,0.002386754,0.006
36,"A",10,0.002386754,0.006,6,96,0.0023724395,0.006
36,"A",10,0.002386754,0.006,7,97,0.002358125,0.006
36,"A",10,0.002386754,0.006,8,98,0.0023438105,0.006
36,"A",10,0.002386754,0.006,9,99,0.002329496,0.006
36,"A",10,0.002386754,0.006,10,100,0.0023151815,0.006
36,"A",11,0.002243609,0.006,1,101,0.002300867,0.006
36,"A",11,0.002243609,0.006,2,102,0.0022865525,0.006
36,"A",11,0.002243609,0.006,3,103,0.002272238,0.006
36,"A",11,0.002243609,0.006,4,104,0.0022579235,0.006
36,"A",11,0.002243609,0.006,5,105,0.002243609,0.006
36,"A",11,0.002243609,0.006,6,106,0.0022302848,0.0061
36,"A",11,0.002243609,0.006,7,107,0.0022169606,0.0062
36,"A",11,0.002243609,0.006,8,108,0.0022036364,0.0063
36,"A",11,0.002243609,0.006,9,109,0.0021903122,0.0064
36,"A",11,0.002243609,0.006,10,110,0.002176988,0.0065
36,"A",12,0.002110367,0.007,1,111,0.0021636638,0.0066
36,"A",12,0.002110367,0.007,2,112,0.0021503396,0.0067
36,"A",12,0.002110367,0.007,3,113,0.0021370154,0.0068
36,"A",12,0.002110367,0.007,4,114,0.0021236912,0.0069
36,"A",12,0.002110367,0.007,5,115,0.002110367,0.007
36,"A",12,0.002110367,0.007,6,116,0.0020980474,0.0068
36,"A",12,0.002110367,0.007,7,117,0.0020857278,0.0066
36,"A",12,0.002110367,0.007,8,118,0.0020734082,0.0064
36,"A",12,0.002110367,0.007,9,119,0.0020610886,0.0062
36,"A",12,0.002110367,0.007,10,120,0.002048769,0.006
36,"A",13,0.001987171,0.005,1,121,0.0020364494,0.0058
36,"A",13,0.001987171,0.005,2,122,0.0020241298,0.0056
36,"A",13,0.001987171,0.005,3,123,0.0020118102,0.0054
36,"A",13,0.001987171,0.005,4,124,0.0019994906,0.0052
36,"A",13,0.001987171,0.005,5,125,0.001987171,0.005
36,"A",13,0.001987171,0.005,6,126,0.0019758147,0.0049
36,"A",13,0.001987171,0.005,7,127,0.0019644584,0.0048
36,"A",13,0.001987171,0.005,8,128,0.0019531021,0.0047
36,"A",13,0.001987171,0.005,9,129,0.0019417458,0.0046
36,"A",13,0.001987171,0.005,10,130,0.0019303895,0.0045
36,"A",14,0.001873608,0.004,1,131,0.0019190332,0.0044
36,"A",14,0.001873608,0.004,2,132,0.0019076769,0.0043
36,"A",14,0.001873608,0.004,3,133,0.0018963206,0.0042
36,"A",14,0.001873608,0.004,4,134,0.0018849643,0.0041
36,"A",14,0.001873608,0.004,5,135,0.001873608,0.004
36,"A",14,0.001873608,0.004,6,136,0.00186315,0.0045
36,"A",14,0.001873608,0.004,7,137,0.001852692,0.005
36,"A",14,0.001873608,0.004,8,138,0.001842234,0.0055
36,"A",14,0.001873608,0.004,9,139,0.001831776,0.006
36,"A",14,0.001873608,0.004,10,140,0.001821318,0.0065
36,"A",15,0.001769028,0.009,1,141,0.00181086,0.007
36,"A",15,0.001769028,0.009,2,142,0.001800402,0.0075
36,"A",15,0.001769028,0.009,3,143,0.001789944,0.008
36,"A",15,0.001769028,0.009,4,144,0.001779486,0.0085
36,"A",15,0.001769028,0.009,5,145,0.001769028,0.009
36,"A",15,0.001769028,0.009,6,146,0.0017593956,0.0085
36,"A",15,0.001769028,0.009,7,147,0.0017497632,0.008
36,"A",15,0.001769028,0.009,8,148,0.0017401308,0.0075
36,"A",15,0.001769028,0.009,9,149,0.0017304984,0.007
36,"A",15,0.001769028,0.009,10,150,0.001720866,0.0065
36,"A",16,0.001672704,0.004,1,151,0.0017112336,0.006
36,"A",16,0.001672704,0.004,2,152,0.0017016012,0.0055
36,"A",16,0.001672704,0.004,3,153,0.0016919688,0.005
36,"A",16,0.001672704,0.004,4,154,0.0016823364,0.0045
36,"A",16,0.001672704,0.004,5,155,0.001672704,0.004
36,"A",16,0.001672704,0.004,6,156,0.001663824,0.0044
36,"A",16,0.001672704,0.004,7,157,0.001654944,0.0048
36,"A",16,0.001672704,0.004,8,158,0.001646064,0.0052
36,"A",16,0.001672704,0.004,9,159,0.001637184,0.0056
36,"A",16,0.001672704,0.004,10,160,0.001628304,0.006
36,"A",17,0.001583904,0.008,1,161,0.001619424,0.0064
36,"A",17,0.001583904,0.008,2,162,0.001610544,0.0068
36,"A",17,0.001583904,0.008,3,163,0.001601664,0.0072
36,"A",17,0.001583904,0.008,4,164,0.001592784,0.0076
36,"A",17,0.001583904,0.008,5,165,0.001583904,0.008
36,"A",17,0.001583904,0.008,6,166,0.001575707,0.0079
36,"A",17,0.001583904,0.008,7,167,0.00156751,0.0078
36,"A",17,0.001583904,0.008,8,168,0.001559313,0.0077
36,"A",17,0.001583904,0.008,9,169,0.001551116,0.0076
36,"A",17,0.001583904,0.008,10,170,0.001542919,0.0075
36,"A",18,0.001501934,0.007,1,171,0.001534722,0.0074
36,"A",18,0.001501934,0.007,2,172,0.001526525,0.0073
36,"A",18,0.001501934,0.007,3,173,0.001518328,0.0072
36,"A",18,0.001501934,0.007,4,174,0.001510131,0.0071
36,"A",18,0.001501934,0.007,5,175,0.001501934,0.007
36,"A",18,0.001501934,0.007,6,176,0.0014943561,0.0068
36,"A",18,0.001501934,0.007,7,177,0.0014867782,0.0066
36,"A",18,0.001501934,0.007,8,178,0.0014792003,0.0064
36,"A",18,0.001501934,0.007,9,179,0.0014716224,0.0062
36,"A",18,0.001501934,0.007,10,180,0.0014640445,0.006
36,"A",19,0.001426155,0.005,1,181,0.0014564666,0.0058
36,"A",19,0.001426155,0.005,2,182,0.0014488887,0.0056
36,"A",19,0.001426155,0.005,3,183,0.0014413108,0.0054
36,"A",19,0.001426155,0.005,4,184,0.0014337329,0.0052
36,"A",19,0.001426155,0.005,5,185,0.001426155,0.005
36,"A",19,0.001426155,0.005,6,186,0.0014191376,0.0051
